"exc","inh","means","vars"
0.154,0.051,3.12226524871514,12.368901817011889
0.01,0.051,NaN,NaN
0.106,0.051,1.624229504743068,7.389687213875748
0.058,0.051,8.509169928160869,73.57359409021433
0.011,0.051,NaN,NaN
0.107,0.051,2.0998038337646943,9.68648953453719
0.155,0.051,0.9831452460257593,3.6194559345848933
0.059,0.051,6.276869377849403,63.47044753184546
0.012,0.051,NaN,NaN
0.108,0.051,1.8029082908222112,6.808008098444008
0.156,0.051,1.8223764686239876,9.452897350168206
0.06,0.051,6.891549957620571,71.03227800850885
0.013,0.051,NaN,NaN
0.109,0.051,2.426231585592637,12.040260450877069
0.157,0.051,1.8184703540226368,5.61481677540249
0.061,0.051,4.7371552543980435,55.93378259528927
0.014,0.051,NaN,NaN
0.11,0.051,1.5133551552319702,4.175426332466361
0.158,0.051,2.724887340253968,8.851187671017666
0.062,0.051,5.548049294070521,40.73737242742065
0.015,0.051,NaN,NaN
0.111,0.051,1.4737890211501163,5.087246260609042
0.159,0.051,1.4560231350159072,4.878202048685757
0.063,0.051,6.060245678409291,74.22635232524843
0.016,0.051,NaN,NaN
0.112,0.051,1.691776863396481,9.172679032042844
0.16,0.051,1.8872664841856923,11.00621933762926
0.064,0.051,3.9517042287278143,126.72952999227857
0.017,0.051,NaN,NaN
0.113,0.051,1.6850074678134281,4.991451183906559
0.161,0.051,0.9877437185513135,3.537431659161415
0.065,0.051,4.420325690130556,123.34798676231371
0.018,0.051,NaN,NaN
0.114,0.051,1.4481898469348715,3.196697919377849
0.162,0.051,0.7598606588579411,2.1265287601318765
0.066,0.051,3.8802237182579584,97.08688640975244
0.019,0.051,NaN,NaN
0.115,0.051,2.3972908881378996,12.623636966635182
0.163,0.051,0.6604013615691292,2.291744203055236
0.067,0.051,3.963876732303319,140.7998740397935
0.02,0.051,NaN,NaN
0.116,0.051,1.9092981187734603,6.211157742683977
0.164,0.051,1.63912378299527,7.679216052002527
0.068,0.051,13.240977715171635,307.6315117712227
0.021,0.051,NaN,NaN
0.117,0.051,1.9064725627047354,11.824099832738858
0.165,0.051,1.745562493602821,4.639685361267317
0.069,0.051,9.059965835113406,124.35549575559271
0.022,0.051,NaN,NaN
0.118,0.051,1.533150098800387,9.188316594238103
0.166,0.051,0.5243884878458593,0.672343905001598
0.07,0.051,5.268171400733142,79.80313734517574
0.023,0.051,NaN,NaN
0.167,0.051,0.8153538346131712,3.866253918206694
0.119,0.051,1.6245706403961475,13.877416086411907
0.071,0.051,6.252002711814986,91.61211163557539
0.024,0.051,NaN,NaN
0.12,0.051,2.365919020401399,18.68611800591126
0.168,0.051,1.1580835699258523,3.0456654608644365
0.072,0.051,5.853059661033976,86.14047806923723
0.025,0.051,NaN,NaN
0.121,0.051,1.3291010624054809,7.335846002292529
0.073,0.051,6.574400159588453,61.051867598088066
0.169,0.051,0.9352463463952021,3.961824636673927
0.122,0.051,2.992654354205566,21.679381175602195
0.026,0.051,NaN,NaN
0.074,0.051,5.968062424208672,87.0880555334825
0.17,0.051,0.36032199535862014,1.1506337804033742
0.123,0.051,4.184676157282575,31.29648883657572
0.027,0.051,NaN,NaN
0.075,0.051,7.038384184797662,87.9001410847425
0.124,0.051,3.2736988842776773,22.197735068245088
0.028,0.051,NaN,NaN
0.171,0.051,0.20671931218871825,0.674205084497778
0.172,0.051,0.20069661961905183,0.8320311753630669
0.076,0.051,11.070163125338338,99.21321895655512
0.125,0.051,7.102706572588592,44.571458714843985
0.029,0.051,NaN,NaN
0.173,0.051,0.14111695040529332,0.9470448040757167
0.126,0.051,6.208340119114773,41.67544836138754
0.077,0.051,4.449347705916738,121.05691923529162
0.03,0.051,NaN,NaN
0.174,0.051,0.15740785714562408,0.7263439772290956
0.031,0.051,NaN,NaN
0.127,0.051,4.555974973183929,30.34474642823753
0.078,0.051,4.410621148323294,72.43393135004307
0.032,0.051,NaN,NaN
0.079,0.051,4.4076924580132815,98.11166999735227
0.128,0.051,5.336595638944545,35.39901216177322
0.175,0.051,0.11725937916593679,1.0220314953776424
0.033,0.051,NaN,NaN
0.08,0.051,4.398294168779371,106.75194646301878
0.129,0.051,8.016362148689261,57.92044920100375
0.034,0.051,NaN,NaN
0.176,0.051,0.13575602819409543,0.5667162974203254
0.081,0.051,4.346626527033581,61.255284171439015
0.13,0.051,7.356596391557402,39.73167682043223
0.035,0.051,NaN,NaN
0.177,0.051,0.0933232759815875,0.8912753514302043
0.131,0.051,8.615193639880136,50.24760217214143
0.082,0.051,4.439077384857147,49.52670579689611
0.036,0.051,NaN,NaN
0.178,0.051,0.12282119220130466,0.865504169467729
0.132,0.051,7.920954281726895,52.186272104515254
0.083,0.051,4.390486618540007,81.50653024947957
0.037,0.051,NaN,NaN
0.179,0.051,0.16718352801962472,1.0406462217694428
0.133,0.051,7.070058875727211,55.387231863750564
0.084,0.051,4.416033566115795,61.41403110968652
0.038,0.051,NaN,NaN
0.18,0.051,0.11114426366643518,0.6105007144321054
0.085,0.051,5.337097951792849,58.90757313355038
0.134,0.051,7.65494196237869,49.75738455638192
0.039,0.051,NaN,NaN
0.181,0.051,0.10909603251149112,0.9356341014166214
0.086,0.051,4.440519721186584,69.5384362702345
0.135,0.051,6.539552851264556,40.99045417653356
0.04,0.051,NaN,NaN
0.182,0.051,0.16925218768027553,0.7491424279703592
0.041,0.051,NaN,NaN
0.087,0.051,3.195213256628434,25.23310003975384
0.136,0.051,8.188596900415869,54.61521589491673
0.183,0.051,0.1737319527907235,0.9585828619915466
0.042,0.051,NaN,NaN
0.088,0.051,4.5315297730288915,61.59428831942785
0.137,0.051,7.758902732565767,46.183781474652015
0.184,0.051,0.12113215380767539,0.751363250254409
0.138,0.051,6.433060851619928,39.42147857706139
0.043,0.051,NaN,NaN
0.089,0.051,4.6293917375127105,38.59583046758084
0.185,0.051,0.13355227776096634,0.671189241067016
0.139,0.051,4.699550250729081,25.03815361178444
0.09,0.051,6.493421464027271,85.71233288156392
0.044,0.051,NaN,NaN
0.186,0.051,0.11661725741892215,0.5168688545580706
0.14,0.051,5.304138622758422,32.95601772270761
0.091,0.051,3.215897910062063,16.67345309806154
0.045,0.051,NaN,NaN
0.187,0.051,0.10977936549300646,0.7322228718285536
0.141,0.051,5.390987139333474,25.761585132157666
0.092,0.051,6.0956379177999676,79.98703577655962
0.046,0.051,NaN,NaN
0.188,0.051,0.13869747451908257,0.7147900251270352
0.142,0.051,5.503187263549113,29.02458542752816
0.047,0.051,NaN,NaN
0.093,0.051,7.502348537432164,108.96256158044673
0.189,0.051,0.10381497443519919,0.5430085092143346
0.143,0.051,6.216116475370445,35.03788100243117
0.048,0.051,0.3352359449714739,0.06656010877877286
0.094,0.051,2.228742675578973,15.726606557790417
0.19,0.051,0.10469355485002231,0.9406071198628349
0.144,0.051,2.9064742836944495,13.154591067365155
0.049,0.051,0.38390660858122383,0.07024404832235767
0.095,0.051,5.010251040295875,75.43645795745894
0.191,0.051,0.14184252529302926,1.1208489596020572
0.145,0.051,6.152244664592643,34.058139824951766
0.05,0.051,0.30382294546194727,0.05098750192102013
0.096,0.051,2.6896975357598314,26.071882924228813
0.192,0.051,0.1834884324601269,0.8192176482970613
0.146,0.051,5.875120969224827,32.343365302989284
0.051,0.051,0.43208075965235315,0.117302692614282
0.097,0.051,3.6129202108541687,12.961504911367257
0.193,0.051,0.10510095240789044,0.6148765571892081
0.147,0.051,2.5537239798932005,11.80474802401178
0.052,0.051,0.8147968578015877,0.5180048691249967
0.098,0.051,3.059811828326488,15.908657771925656
0.148,0.051,5.963769216190469,36.61652507947346
0.194,0.051,0.12326229404792428,0.8255732456025693
0.053,0.051,2.1708235088496837,18.461079596099836
0.099,0.051,0.6875642858753205,3.8960096720448467
0.149,0.051,4.444683852999222,23.039899864547024
0.195,0.051,0.10271902835042052,0.732004123872345
0.054,0.051,11.431821947143959,107.11798795657137
0.1,0.051,1.1963646001221804,15.081296459423694
0.15,0.051,4.0802774893391724,18.483456408580174
0.055,0.051,12.751118573561257,110.96399106947166
0.196,0.051,0.10856622756633438,0.9441538177322918
0.101,0.051,1.7714924233605527,8.45899956967673
0.151,0.051,3.7664511304630413,16.257177508548086
0.056,0.051,11.381110413011061,99.93067795492945
0.197,0.051,0.16500469790493982,1.0738003896695756
0.102,0.051,3.42688695922803,10.563608182663929
0.152,0.051,3.9340021579378237,18.166830189663642
0.057,0.051,10.34638988489013,95.22365239696181
0.198,0.051,0.10656418453457472,0.701277730836206
0.103,0.051,2.853809168932894,10.764228301266835
0.153,0.051,1.784347120550807,11.745496924001387
0.199,0.051,0.11719802740684179,0.7898612241450393
0.104,0.051,3.1686629771137396,16.7619622880796
0.2,0.051,0.1257477711034367,0.6664621816478412
0.105,0.051,2.455745442778731,9.664210575236606
0.01,0.052,NaN,NaN
0.106,0.052,2.425595992608619,12.58474730613225
0.058,0.052,7.09687833701596,48.636225932538025
0.154,0.052,3.3438607584542446,13.007062574634027
0.107,0.052,1.966609206920549,5.6991133435373555
0.059,0.052,6.13890667672867,33.13084226948864
0.155,0.052,2.0341203967739707,10.183386676524671
0.011,0.052,NaN,NaN
0.108,0.052,1.8632358250411447,9.42900190513869
0.06,0.052,6.216563536804657,40.684821247753035
0.012,0.052,NaN,NaN
0.156,0.052,2.901586363047902,11.46898511116547
0.109,0.052,1.3696804018910544,6.292814344934509
0.061,0.052,6.952293441018847,120.00956224083652
0.013,0.052,NaN,NaN
0.157,0.052,2.147534408018534,9.337308863620676
0.11,0.052,1.7966709549062851,7.295870606897639
0.062,0.052,6.70823223313533,40.64479698242805
0.014,0.052,NaN,NaN
0.158,0.052,1.913595126507888,7.634585271215543
0.111,0.052,1.5295730864458161,5.511508083666147
0.015,0.052,NaN,NaN
0.063,0.052,5.42801357319737,38.95417435069744
0.159,0.052,1.5140078342930487,7.491675769459541
0.112,0.052,1.7060095542380302,8.182137531441867
0.064,0.052,5.933842530541164,59.78667983655923
0.016,0.052,NaN,NaN
0.16,0.052,2.350085144735685,12.369875989583608
0.113,0.052,1.63455047376859,9.391238351916808
0.065,0.052,3.32528393281373,96.74457900602283
